Currency,Rates
AED,3.67302
AFN,87.368092
ALL,117.083819
AMD,400.984278
ANG,1.792375
AOA,480.26125
ARS,155.385755
AUD,1.541949
AWG,1.8
AZN,1.698421
BAM,1.940567
BBD,2.008067
BDT,100.913236
BGN,1.94006
BHD,0.376944
BIF,2056.243829
BMD,1.0
BND,1.399844
BOB,6.87202
BRL,5.384901
BSD,0.994508
BTC,4.8147774e-05
BTN,81.574052
BWP,13.225411
BYN,2.522709
BYR,19600.0
BZD,2.004693
CAD,1.3574
CDF,2005.000224
CHF,0.98848
CLF,0.034474
CLP,951.250356
CNY,7.212195
COP,4884.07
CRC,620.129886
CUC,1.0
CUP,26.5
CVE,109.406704
CZK,24.3753
DJF,177.052791
DKK,7.396801
DOP,53.586755
DZD,140.062027
EGP,19.69926
ERN,15.0
ETB,52.674972
EUR,0.99445
FJD,2.27695
FKP,0.882525
GBP,0.862525
GEL,2.774986
GGP,0.882525
GHS,13.923173
GIP,0.882525
GMD,58.049891
GNF,8575.497021
GTQ,7.797032
GYD,208.067709
HKD,7.84901
HNL,24.585113
HRK,7.490201
HTG,126.810947
HUF,407.239676
IDR,15557.45
ILS,3.49467
IMP,0.882525
INR,82.38705
IQD,1451.493037
IRR,42399.999948
ISK,142.510122
JEP,0.882525
JMD,152.415822
JOD,0.709017
JPY,145.7635
KES,121.350268
KGS,82.719296
KHR,4116.654759
KMF,488.501473
KPW,899.999862
KRW,1418.440206
KWD,0.30935
KYD,0.828806
KZT,465.979054
LAK,17212.738196
LBP,1503.90189
LKR,363.498192
LRD,153.549941
LSL,17.714982
LTL,2.95274
LVL,0.60489
LYD,4.992385
MAD,10.803241
MDL,19.243832
MGA,4250.132712
MKD,61.134786
MMK,2088.498316
MNT,3359.775161
MOP,8.040621
MRO,356.999828
MUR,43.797289
MVR,15.389892
MWK,1020.793292
MXN,19.99472
MYR,4.712948
MZN,63.830145
NAD,18.075035
NGN,437.0503
NIO,35.800191
NOK,10.285175
NPR,130.523266
NZD,1.71328
OMR,0.384974
PAB,0.994488
PEN,3.967574
PGK,3.504349
PHP,58.191499
PKR,219.543075
PLN,4.72855
PYG,7197.309083
QAR,3.64125
RON,4.847201
RSD,116.640451
RUB,61.625004
RWF,1060.85878
SAR,3.758871
SBD,8.193673
SCR,12.905823
SDG,573.496279
SEK,10.89704
SGD,1.406741
SHP,1.3774
SLL,18524.999624
SOS,568.492963
SRD,28.914498
STD,20697.981008
SVC,8.701821
SYP,2512.530034
SZL,17.926922
THB,37.718499
TJS,10.019695
TMT,3.5
TND,3.211995
TOP,2.41185
TRY,18.602965
TTD,6.747697
TWD,31.963502
TZS,2332.000356
UAH,36.730186
UGX,3794.035789
USD,1.0
UYU,40.993407
UZS,11067.634408
VND,24830.0
VUV,125.149891
WST,2.844937
XAF,650.863989
XAG,0.051316
XAU,0.000601
XCD,2.70255
XDR,0.778211
XOF,650.857531
XPF,119.535007
YER,250.250213
ZAR,17.964301
ZMK,9001.203214
ZMW,15.986942
ZWL,321.999592
